mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.8057024002075195,0.10512444311948843,0.05148491859436035,0.0024379327425944185,10,log2,1,2,400,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",0.8918918918918919,0.8611111111111112,0.8055555555555556,0.8888888888888888,0.7777777777777778,0.8450450450450451,0.0457369286399534,54
1.00697979927063,0.06962000243413433,0.07053112983703613,0.006709298727002894,10,log2,1,2,600,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 600}",0.8918918918918919,0.8611111111111112,0.8055555555555556,0.8888888888888888,0.7777777777777778,0.8450450450450451,0.0457369286399534,54
1.371242094039917,0.04982933033262703,0.08392329216003418,0.00544605047211016,10,log2,1,2,800,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.8918918918918919,0.8611111111111112,0.8055555555555556,0.8888888888888888,0.7777777777777778,0.8450450450450451,0.0457369286399534,54
1.588391160964966,0.07626323548792555,0.1014817237854004,0.004024518407331268,10,log2,1,2,1000,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",0.8918918918918919,0.8611111111111112,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.8394894894894895,0.05151791471884726,105
0.6774370193481445,0.03037906021846872,0.046128034591674805,0.0018557698650449768,10,log2,1,5,400,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",0.8378378378378378,0.8055555555555556,0.7777777777777778,0.8611111111111112,0.7777777777777778,0.812012012012012,0.03305554788265352,117
1.0055903911590576,0.03138166216931691,0.06944026947021484,0.009226029814464309,10,log2,1,5,600,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 600}",0.8378378378378378,0.8055555555555556,0.7777777777777778,0.8611111111111112,0.7777777777777778,0.812012012012012,0.03305554788265352,117
1.2760103225708008,0.061476469912940764,0.08352651596069335,0.00311497274432065,10,log2,1,5,800,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}",0.8378378378378378,0.8055555555555556,0.7777777777777778,0.8611111111111112,0.7777777777777778,0.812012012012012,0.03305554788265352,117
1.6586249828338624,0.07311230299945921,0.11705613136291504,0.011232247918057176,10,log2,1,5,1000,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1000}",0.8378378378378378,0.8055555555555556,0.7777777777777778,0.8611111111111112,0.7777777777777778,0.812012012012012,0.03305554788265352,117
0.6373604774475098,0.023186149467456174,0.052575874328613284,0.008928479101092818,10,log2,2,2,400,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",0.7567567567567568,0.8055555555555556,0.75,0.8055555555555556,0.7777777777777778,0.7791291291291291,0.023441703808413872,158
1.1075688362121583,0.11651527288127739,0.07539172172546386,0.011024085047860524,10,log2,2,2,600,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 600}",0.7567567567567568,0.8055555555555556,0.75,0.8333333333333334,0.7777777777777778,0.7846846846846847,0.031090146796991642,121
1.3219396114349364,0.09001840049503049,0.09225611686706543,0.017443464377801907,10,log2,2,2,800,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 800}",0.7567567567567568,0.8055555555555556,0.75,0.8333333333333334,0.7777777777777778,0.7846846846846847,0.031090146796991642,121
1.5797605037689209,0.08511056567408143,0.11100497245788574,0.009946928613035646,10,log2,2,2,1000,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000}",0.7567567567567568,0.8055555555555556,0.75,0.8333333333333334,0.7777777777777778,0.7846846846846847,0.031090146796991642,121
0.6567042350769043,0.04313893466238983,0.05336952209472656,0.011181960511834276,10,log2,2,5,400,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",0.7567567567567568,0.8055555555555556,0.75,0.8055555555555556,0.7777777777777778,0.7791291291291291,0.023441703808413872,158
0.9919013023376465,0.056318615870807553,0.06993575096130371,0.009694431315434177,10,log2,2,5,600,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 600}",0.7567567567567568,0.8055555555555556,0.75,0.8055555555555556,0.7777777777777778,0.7791291291291291,0.023441703808413872,158
1.2652966499328613,0.06227054999352158,0.12102413177490234,0.02567925027959206,10,log2,2,5,800,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}",0.7567567567567568,0.8055555555555556,0.75,0.8333333333333334,0.7777777777777778,0.7846846846846847,0.031090146796991642,121
